"Participant ID","Assigned Kegan Stage","Overall Reasoning","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20"
"S2.1","Stage 2","Driven by self-interest, minimizing risk, securing concrete advantages, and instrumental interactions.","S2: Can't rely on person","S2: Gets me ahead/less risk","S2: New plan for what I want","S2: Get reward earned","S2: Get what I need out of deal","S2: Avoid getting dinged","S2: Move on to next level","S2: Better trick to get job done","S2: Look out for number one","S2: Set up to avoid blame","S2: Keep head down/avoid fired","S2: Avoid trouble with in charge","S2: Waste of time/no payoff","S2: Looks great/promotion","S2: Go along to avoid punishment","S2: Wonder what payoff expecting","S2: Figure out how to succeed","S2: Figure out new rules to not fail","S2: Pick better pay/advantage","S2: Cover tracks/avoid under bus"
"S3.1","Stage 3","Validation derived from community, avoiding awkwardness, and fulfilling the interpersonal expectations of peers.","S3: Hurt/wonder if did something wrong","S3: Ask colleagues/friends","S3: Hope others don't think less","S3: Validated by handling well","S3: Avoid arguments/keep working","S3: Validated/belonged","S3: Lose daily connection/support","S3: See what others do/ask advice","S3: Keep peace/make happy","S3: Hope peers support me","S3: Apologize/make sure not awkward","S3: Doing expected to not disappoint","S3: Devastating/worry what others think","S3: Praise/respect of group","S3: Go along/not seen as difficult","S3: Caring and selfless team player","S3: Miss feedback/friends/belonging","S3: Turn to people trust","S3: Ask friends/peers for guidance","S3: Anxious/hope for reassurance"
"S3.2","Stage 3","Reliance on parents and mentors to dictate correct choices, strongly desiring to maintain good impressions.","S3: Hurts feelings/relationship damaged","S3: Ask someone I trust/parents","S3: Disappointed people counting on me","S3: See parents proud","S3: Everyone gets along/no upset","S3: Nervous/make good impression","S3: Sad leaving friends/family","S3: Ask teachers/parents for help","S3: Expected of me/keep happy","S3: Anxious/hope in charge know","S3: Keep head down/do what supervisor wants","S3: Listen to expectations/they know best","S3: Let down people who supported","S3: Glad everyone liked it","S3: Keep to themselves/no drama","S3: Important to be good person","S3: Miss the people","S3: Talk to mentors/right track","S3: Makes parents/mentors proudest","S3: Ask for advice/don't disappoint"
"S3.3","Stage 3","Identity hinges on professional reputation, avoiding looking bad, and conforming to management's expectations.","S3: Reflect on department/reputation","S3: Figure out what VP prefer","S3: Fix it so we don't look bad","S3: Flawless results/team delivers","S3: Keep peace/don't look incompetent","S3: Everything perfectly under control","S3: Good team player","S3: Stressed team might drop ball","S3: Executives' highest priority","S3: Exposed/worry others think failing","S3: Talk to HR carefully/not complainer","S3: Align with higher-ups/business works","S3: Reflects poorly on competence","S3: Relieved management happy","S3: Go along/support team","S3: Dedicated reliable team player","S3: Perfect legacy behind","S3: Team capable without them","S3: Look most capable","S3: Micromanage/no embarrassing mistakes"
"S3.4","Stage 3","Socialized deeply into squad loyalty, camaraderie, and following the chain of command without question.","S3: Ruins trust/let them down","S3: Stuck in middle/disappoint","S3: Let down people counting on me","S3: Commanders/squad proud","S3: Middle ground/nobody mad","S3: Exactly what expected","S3: Miss camaraderie/people","S3: Look to superiors/squadmates","S3: Betray trust/let boss down","S3: Anxious/chain of command back","S3: Hurt/let down by chain","S3: Torn/stressed whose expectations","S3: Let team and boss down","S3: Superiors and peers proud","S3: Go along/don't cause trouble","S3: True friend/loyal teammate","S3: Miss squad/bonds","S3: Leaders/peers figure out right","S3: Struggle to keep everyone happy","S3: Follow training/don't disappoint"
"S4.1","Stage 4","Internal alignment driving self-authored choices, focusing on core values, boundaries, and intrinsic validation.","S4: Reassess trust/own boundaries","S4: Inward/core values","S4: Learn/adjust path","S4: Validates chosen path","S4: Don't compromise fundamental beliefs","S4: Validation from within","S4: Personal growth","S4: Reevaluate approach/fits who I am","S4: Own priorities","S4: Control own reactions/principles","S4: Advocate/clear boundaries","S4: Trust own judgment","S4: Objectively look/learn","S4: Guide team/shared vision","S4: Speak up/convictions","S4: Integrity/values in action","S4: Lessons into next chapter","S4: Critically examine/let go","S4: Fits future building","S4: Principled choice/internal compass"
"S4.2","Stage 4","Self-authored systemic view, setting hypotheses, managing internal responses, and respecting objective boundaries.","S4: Assess boundaries/breakdown","S4: Core values/overarching vision","S4: Set aside disappointment/data","S4: Internal alignment/satisfaction","S4: Respects core principles","S4: Model authentic leadership","S4: Space for new priorities","S4: Update framework/hypothesis","S4: Internal compass/values","S4: Manage own internal response","S4: Assess facts/communicate boundaries","S4: Authorize perspective/set boundaries","S4: Valuable data/refine strategy","S4: Guided group to shared vision","S4: Voice dissent/true to assessment","S4: Personal value system/commitments","S4: Integrate lessons","S4: Author new operating principles","S4: Internal compass/ultimate goals","S4: Trust own judgment/framework"
"S4.3","Stage 4","Applying structural responsibility, strategic alignment, and designing processes driven by internal principles.","S4: Redesign agreements","S4: Core principles/strategy","S4: Systemic flaws/redesign process","S4: Validates strategy/frameworks","S4: Don't violate core values","S4: Align goals/collaborate","S4: Organizational growth","S4: Build a new system","S4: Long-term impact/alignment","S4: Control response/contingency","S4: Clarify expectations/boundaries","S4: Define stance/create friction","S4: Structural failures/redesign","S4: Underlying architecture supported","S4: Alternative solution/independent assessment","S4: Commitment to larger purpose","S4: Carry lessons forward","S4: Update mental models","S4: Internal goals/long-term vision","S4: Guiding principles/feedback loops"
"S4.4","Stage 4","Strong emphasis on internal compass, owning decisions, separating identity from outcomes, and boundary management.","S4: Adjust boundaries/own standards","S4: Core values/life building","S4: Learn/next steps","S4: Worth isn't solely outcome","S4: Middle ground/fundamental principles","S4: Work for own merits/not praise","S4: Making room for new chapters","S4: Re-examine methods/new approach","S4: Own clear set of values","S4: Manage own reactions","S4: Advocate/aligns with values","S4: Choose own path/consequences","S4: Separate self-worth/grow","S4: Project doesn't define identity","S4: Voice dissent/own judgment","S4: Conscious choice vs obligation","S4: Core self intact","S4: Construct new understanding","S4: Internal compass/broader purpose","S4: Trust framework/accountability"
"S4.5","Stage 4","Leadership driven by moral accountability, core values, objective mission focus, and character development.","S4: Corrective action/restore trust","S4: Core values/leadership philosophy","S4: Adjust strategy/team learns","S4: Validates standards/commitment","S4: Negotiate tactics/not principles","S4: Model character/standard","S4: Greater responsibilities","S4: Update approach/methods","S4: Mission/character development","S4: Control reaction/prepare","S4: Address professionally/standards","S4: Courage to act on convictions","S4: Ownership/apply moving forward","S4: Improve leadership for next","S4: Stand ground/articulate reasoning","S4: Character and true leadership","S4: Leave better/next objective","S4: Revise framework/greater good","S4: Internal compass/core values","S4: Judgment/full responsibility"
